Behavior,activity
Behavior,habits and repetitive behaviours
Behavior,impulsivity
Behavior,risk taking
Behavior,substance abuse
Cognition,attention
Cognition,memory
Cognition,planning and organization
Cognition,processing speed
Emotions,emotional stability
Emotions,fears/worries
Emotions,irritability
Emotions,mood
Emotions,stress level
Health,complains of pain
Health,diet
Health,fine motor skills
Health,gross motor skills
Health,sleep
Language,language
Language,speech articulation
Language,speech quantity
Learning,academic performance/aptitude
Learning,learning
Learning,learning new things
Learning,math
Learning,reading
Learning,understanding concepts
Learning,writing
Personal and Personality,confidence
Personal and Personality,creativity
Personal and Personality,integrity
Personal and Personality,perseverance
Personal and Personality,responsibility
Personal and Personality,sexual behavior
Personal and Personality,sexual identity
Personal and Personality,temperament
Social Function,cooperativeness
Social Function,empathy
Social Function,following rules
Social Function,hygiene
Social Function,social behaviour
Social Function,social skills
