teacher_id,learner_id,activity_end_time,activity,habits and repetitive behaviours,impulsivity,risk taking,substance abuse,attention,memory,planning and organization,processing speed,emotional stability,fears/worries,irritability,mood,stress level,complains of pain,diet,fine motor skills,gross motor skills,sleep,language,speech articulation,speech quantity,academic performance/aptitude,learning,learning new things,math,reading,understanding concepts,writing,confidence,creativity,integrity,perseverance,responsibility,sexual behavior,sexual identity,temperament,cooperativeness,empathy,following rules,hygiene,social behaviour,social skills
t1,B,29/04/2021,10,5,9,0,0,8,0,10,0,10,9,10,5,10,8,5,1,2,0,5,5,10,2,8,9,9,9,9,2,8,8,0,8,6,5,5,7,9,0,1,5,5,5
t1,B,02/05/2021,8,0,9,1,0,9,0,10,0,10,10,10,5,10,10,8,0,0,0,10,5,10,3,5,9,9,8,9,1,10,5,0,10,8,0,5,9,6,0,5,5,5,5
t1,F,02/05/2021,10,0,5,8,0,5,0,2,9,5,8,0,0,10,0,5,7,10,0,9,0,10,8,10,10,8,10,10,10,5,10,0,0,0,5,0,0,0,3,4,0,10,0
t1,A,02/05/2021,7,5,2,5,8,8,5,2,5,7,5,2,5,7,7,5,2,5,7,9,5,1,8,5,2,5,8,5,1,6,5,2,5,8,5,2,5,9,5,1,5,7,5
t1,C,02/05/2021,5,5,6,5,5,5,4,5,5,5,5,5,6,5,5,5,4,5,5,5,6,5,5,5,4,5,5,5,5,6,5,5,5,5,5,5,5,4,5,5,5,6,5
t2,A,02/05/2021,8,5,2,5,9,8,5,1,5,8,5,2,5,8,8,5,2,5,7,9,5,2,10,5,2,5,7,5,1,10,5,1,5,9,5,2,5,8,5,1,5,8,5
t2,B,29/04/2021,9,4,7,0,0,8,2,8,0,8,9,9,5,9,9,5,2,2,1,5,6,11,2,9,9,8,9,7,2,8,9,0,6,6,4,5,8,8,0,2,5,7,5
t2,C,02/05/2021,6,5,4,5,5,5,6,4,5,6,4,5,5,5,6,6,4,5,5,5,6,5,4,6,5,5,5,5,5,6,4,5,5,5,5,5,5,6,4,5,5,5,5
t2,F,02/05/2021,10,2,5,9,0,5,1,2,10,5,6,0,2,10,0,6,7,9,0,9,2,10,8,9,10,6,10,9,10,5,9,0,2,0,6,0,1,0,4,4,2,10,1
t2,B,02/05/2021,8,0,9,1,0,9,0,10,0,10,10,10,5,10,10,8,0,0,0,10,5,10,3,5,9,9,8,9,1,10,5,0,10,8,0,5,9,6,0,5,5,5,5
t3,A,02/05/2021,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
t3,B,29/04/2021,9,5,7,0,2,2,0,4,0,9,9,8,5,9,3,5,2,2,1,4,5,9,1,8,10,9,7,9,3,3,8,7,8,2,5,3,7,10,0,2,5,7,5
t3,C,02/05/2021,5,6,5,4,5,5,6,5,4,5,6,5,4,5,5,6,5,4,5,5,6,5,5,6,5,4,5,6,5,5,6,5,4,5,6,5,3,5,6,5,4,5,6
t3,F,02/05/2021,2,0,1,8,8,8,0,5,9,7,8,7,0,3,6,5,4,10,3,2,0,3,6,10,5,8,2,10,3,1,10,2,0,8,5,4,0,4,3,8,0,5,0
t3,B,02/05/2021,8,0,9,1,0,9,0,10,0,10,10,10,5,10,10,8,0,0,0,10,5,10,3,5,9,9,8,9,1,10,5,0,10,8,0,5,9,6,0,5,5,5,5
